# ngc288 E(B-V)=0.03, (m-M)_0 = 14.84
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 thenBlueFlag = 0. Value of 1 is good.
# File Created: 04/16/2024 (MM/DD/YYYY)
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag
13	00 53 35.169	-26 36 10.29	0.57	5.26	4.53	3.96	20.1644	19.3750	18.7989	18.0883	1
21	00 53 32.477	-26 28 21.70	0.48	85.10	4.69	4.21	99.9999	19.5464	19.0515	18.5880	1
23	00 53 31.249	-26 35 41.23	0.46	4.69	4.14	3.68	19.5930	18.9897	18.5178	17.9257	1
29	00 53 27.071	-26 32 09.90	0.29	85.10	4.62	4.33	99.9999	19.4780	19.1698	18.5478	1
32	00 53 26.594	-26 32 42.03	0.70	3.22	2.27	1.57	18.1220	17.1111	16.4053	15.5429	1
34	00 53 26.004	-26 35 09.81	0.68	3.48	2.56	1.88	18.3818	17.3998	16.7110	15.8469	1
35	00 53 24.983	-26 34 05.65	0.56	4.64	3.90	3.34	19.5440	18.7496	18.1785	17.4131	1
38	00 53 24.065	-26 34 32.91	0.35	4.95	4.18	3.83	19.8542	19.0374	18.6659	17.9939	1
39	00 53 24.004	-26 36 07.50	0.55	4.62	3.88	3.34	19.5181	18.7316	18.1748	17.5017	1
45	00 53 20.846	-26 32 28.20	0.47	4.67	4.04	3.57	19.5727	18.8880	18.4084	17.8614	1
47	00 53 20.493	-26 36 38.41	0.50	4.67	4.13	3.63	19.5714	18.9776	18.4634	17.8944	1
48	00 53 20.346	-26 36 04.80	-0.04	1.87	0.86	0.89	16.7705	15.7347	15.7402	15.7527	1
54	00 53 19.313	-26 37 20.20	0.38	4.62	3.96	3.58	19.5228	18.8209	18.4234	17.7831	1
56	00 53 19.019	-26 36 18.80	0.45	5.01	4.35	3.89	19.9156	19.1993	18.7332	18.1858	1
57	00 53 18.797	-26 29 51.01	0.48	5.08	4.52	4.04	19.9856	19.3699	18.8797	18.2469	1
61	00 53 18.182	-26 31 53.52	0.41	5.27	4.66	4.25	20.1755	19.5189	19.0901	18.4461	1
62	00 53 17.966	-26 30 58.42	0.32	5.51	4.93	4.61	20.4148	19.7896	19.4517	19.0106	1
65	00 53 17.610	-26 33 00.16	0.39	4.88	4.26	3.86	19.7791	19.1136	18.7026	18.0483	1
66	00 53 17.512	-26 34 36.79	0.50	4.97	4.33	3.83	19.8732	19.1792	18.6711	18.1269	1
68	00 53 16.681	-26 33 54.97	0.34	5.13	4.42	4.08	20.0310	19.2760	18.9214	18.3544	1
70	00 53 16.305	-26 27 46.50	0.50	4.75	4.04	3.55	19.6492	18.8932	18.3851	17.7244	1
71	00 53 16.124	-26 37 49.41	0.38	4.83	3.97	3.58	19.7299	18.8235	18.4227	17.7866	1
72	00 53 15.679	-26 37 03.85	0.36	85.10	5.34	4.98	99.9999	20.2004	19.8215	19.1721	1
74	00 53 15.573	-26 36 25.55	0.43	4.55	3.97	3.54	19.4529	18.8236	18.3794	17.7972	1
75	00 53 15.665	-26 29 12.58	0.42	85.10	5.51	5.09	99.9999	20.3657	19.9277	19.2399	1
78	00 53 15.358	-26 34 06.42	0.44	5.42	4.86	4.43	20.3173	19.7185	19.2671	18.6621	1
79	00 53 15.237	-26 37 05.74	0.41	5.62	5.06	4.66	20.5272	19.9190	19.4962	18.8478	1
80	00 53 15.241	-26 30 59.65	0.43	5.24	4.56	4.12	20.1417	19.4107	18.9614	18.3713	1
81	00 53 15.133	-26 35 27.19	0.29	6.26	5.51	5.22	21.1622	20.3684	20.0573	19.2571	0
86	00 53 14.946	-26 33 52.36	0.85	2.23	1.07	0.22	17.1296	15.9030	15.0545	14.0902	1
87	00 53 14.912	-26 31 57.32	0.41	5.87	5.19	4.78	20.7697	20.0414	19.6187	18.9910	1
90	00 53 14.403	-26 36 16.28	0.45	4.81	4.26	3.81	19.7121	19.1170	18.6487	18.0579	1
92	00 53 14.328	-26 36 58.86	0.41	85.10	5.28	4.86	99.9999	20.1311	19.7015	19.1144	1
93	00 53 14.372	-26 33 52.41	0.44	5.44	4.76	4.32	20.3437	19.6101	19.1602	18.5564	1
94	00 53 14.267	-26 36 50.38	0.49	4.11	3.50	3.01	19.0123	18.3481	17.8444	17.1642	1
99	00 53 13.930	-26 36 06.04	0.40	5.47	4.89	4.49	20.3766	19.7481	19.3278	18.7229	1
100	00 53 13.909	-26 32 55.39	0.47	5.58	5.12	4.65	20.4833	19.9700	19.4881	18.8624	1
102	00 53 13.884	-26 31 01.43	0.43	85.10	5.83	5.40	99.9999	20.6833	20.2427	99.9999	1
105	00 53 13.532	-26 37 46.72	0.51	85.10	5.49	4.98	99.9999	20.3418	19.8222	19.0518	1
106	00 53 13.506	-26 38 43.48	0.44	4.92	4.42	3.98	19.8189	19.2763	18.8210	18.2282	1
107	00 53 13.550	-26 36 12.33	0.40	5.10	4.46	4.05	20.0053	19.3136	18.8929	18.2679	1
108	00 53 13.550	-26 35 34.50	0.42	4.98	4.43	4.02	19.8846	19.2892	18.8558	18.2858	1
109	00 53 13.349	-26 40 51.29	0.57	85.10	5.79	5.22	99.9999	20.6367	20.0536	19.3332	1
110	00 53 13.347	-26 40 47.54	0.66	5.68	5.29	4.63	20.5813	20.1357	19.4685	18.8360	1
111	00 53 13.365	-26 36 27.62	0.40	4.96	4.36	3.96	19.8649	19.2170	18.8004	18.2349	1
112	00 53 13.257	-26 36 18.43	0.49	5.41	4.89	4.40	20.3076	19.7431	19.2383	18.6525	1
113	00 53 13.177	-26 35 56.18	0.40	5.47	4.83	4.43	20.3723	19.6881	19.2701	18.7510	1
114	00 53 13.243	-26 31 34.69	0.38	5.98	5.35	4.97	20.8789	20.2071	19.8121	19.0934	1
116	00 53 13.020	-26 37 04.65	0.91	2.07	0.73	-0.17	16.9689	15.5653	14.6592	13.6512	1
