# M107 E(B-V)=0.33, m-M = 14.03
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I
1	16 33 21.720	-13 04 34.27	0.74	1.87	0.85	0.10	17.6155	16.2092	15.1949	13.9054
2	16 33 21.430	-13 10 11.64	0.69	2.89	2.17	1.48	18.6397	17.5332	16.5728	15.4535
4	16 33 20.322	-13 04 53.84	0.92	1.27	-0.59	-1.51	17.0206	14.7580	13.5732	11.8995
7	16 33 20.096	-12 59 32.34	0.69	4.74	3.86	3.17	20.4876	19.2245	18.2587	17.3893
12	16 33 17.829	-13 03 43.05	0.95	2.00	1.38	0.44	17.7445	16.7282	15.5228	14.2042
14	16 33 17.580	-13 06 59.43	0.88	3.91	2.66	1.78	19.6597	18.0105	16.8689	15.5444
22	16 33 15.914	-13 03 30.42	0.54	3.78	3.22	2.68	19.5330	18.5973	17.7739	16.7760
23	16 33 15.838	-13 02 07.66	0.88	3.58	2.45	1.57	19.3291	17.8036	16.6598	15.2557
24	16 33 15.537	-13 04 04.15	1.22	4.74	3.65	2.43	20.4875	18.9702	17.5026	16.0637
25	16 33 15.389	-13 11 31.35	0.85	2.86	1.82	0.96	18.6042	17.1671	16.0502	14.7633
26	16 33 15.411	-13 04 05.29	0.45	4.07	3.70	3.25	19.8235	19.0851	18.3534	17.1869
30	16 33 14.801	-13 10 48.61	1.00	1.34	0.28	-0.72	17.0903	15.6181	14.3620	12.9752
31	16 33 14.549	-13 14 15.58	1.17	1.71	-0.48	-1.65	17.4601	14.8464	13.4264	11.8439
35	16 33 12.941	-13 08 48.40	0.53	1.02	0.35	-0.18	16.7747	15.7268	14.9131	13.8654
41	16 33 11.751	-13 14 10.46	0.60	3.27	2.72	2.13	19.0217	18.0984	17.2221	16.0520
42	16 33 11.873	-12 59 12.32	0.76	1.70	0.61	-0.15	17.4446	15.9733	14.9406	13.5552
46	16 33 11.466	-13 01 03.67	0.81	3.62	2.56	1.75	19.3717	17.9170	16.8368	15.5406
48	16 33 11.145	-13 07 59.07	0.85	1.66	0.82	-0.03	17.4048	16.1690	15.0543	13.8577
52	16 33 10.303	-13 05 32.98	0.79	4.00	2.94	2.16	19.7521	18.2995	17.2463	15.9992
57	16 33 09.511	-13 04 18.48	1.15	4.46	2.79	1.64	20.2078	18.1170	16.7218	15.1019
58	16 33 09.354	-13 12 42.84	0.71	2.87	2.16	1.45	18.6177	17.5262	16.5475	15.3556
