      Name         RA        Dec  Number of Observations
 V1150 Tau   69.65100    8.17518                       2
    AN Col   80.32025  -34.34505                       2
   HR 2142   91.05625   -6.70895                       2
   HR 2249   94.03205  -16.61801                       2
    QY Gem  104.42876   17.90201                       2
  V378 Pup  114.01622  -14.49277                       2
    QY Car  152.94358  -58.06054                       2
   kap Dra  188.37060   69.78824                       0
    LS Mus  195.77223  -71.47573                       2
  V846 Ara  254.03684  -50.67479                       0
   iot Ara  260.81698  -47.46820                       0
  V750 Ara  261.97838  -47.02622                       0
   alf Ara  262.96038  -49.87615                       0
   MWC 271  266.28210   -9.81512                       0
     7 Vul  292.33707   20.27974                       1
    28 Cyg  302.35675   36.83962                       0
 V2119 Cyg  305.93487   37.47645                       0
    60 Cyg  315.29553   46.15578                       0
   8 Lac A  338.96784   39.63433                       0
kap 01 Aps  232.87843  -73.38959                       1
