#HST 17445 Observing Summary - STIS E140M
HD	Name		Obs_Date	Notes
109387	kap Dra	
	OF9R05010	2024-06-19	Guide star not aquired - redone later
	OF9R06010	2024-04-30
	OF9R07010	2024-03-14	
	OF9R05010	2025-02-12	

200310	60 Cyg
	OF9R14010	2024-04-12
	OF9R16010	2024-02-16
	OF9R15010	2025-03-25

183537	7 Vul
	OF9R11010	2024-06-23
	OF9R12010	2025-04-14
	OF9R13010	2025-05-05

041335	HR 2142	
	OF9R01010	2024-03-08
	OF9R03010	2024-04-13
	OF9R04010	2024-08-24

161306	MWC 271
	OF9R08010	2025-04-15
	OF9R09010	2025-04-28	Zero exposure, need HOPR
	OF9R10010	2025-02-16
