HD137387     -15.0817   -0.0382233      39.8926     -24.1382     -27.0521
      29.8383
2.21802      2.21467      2.15589      2.25280      2.43483      2.35657
-1500.0004   -0.019155   -0.016460   -0.028500   -0.029043   -0.023576   -0.032403
-1492.5004   -0.020562   -0.019029   -0.029508   -0.030450   -0.024955   -0.031156
-1485.0004   -0.022199   -0.021825   -0.030159   -0.032377   -0.027002   -0.030611
-1477.5004   -0.024228   -0.023877   -0.030248   -0.034508   -0.029483   -0.031091
-1470.0004   -0.027177   -0.025483   -0.030155   -0.036073   -0.031760   -0.032485
-1462.5004   -0.030404   -0.027377   -0.030602   -0.036410   -0.033339   -0.034705
-1455.0004   -0.032649   -0.029538   -0.032019   -0.035732   -0.034080   -0.037714
-1447.5004   -0.033463   -0.031115   -0.034009   -0.035537   -0.034162   -0.040964
-1440.0004   -0.033430   -0.031604   -0.035735   -0.036574   -0.033460   -0.043425
-1432.5004   -0.033342   -0.031185   -0.036717   -0.038302   -0.032326   -0.044435
-1425.0004   -0.033145   -0.030232   -0.037039   -0.039737   -0.031725   -0.044716
-1417.5004   -0.032333   -0.028942   -0.036634   -0.040257   -0.032364   -0.045257
-1410.0004   -0.031246   -0.027677   -0.035484   -0.040054   -0.033788   -0.045946
-1402.5004   -0.030710   -0.026766   -0.033796   -0.039693   -0.034996   -0.046077
-1395.0004   -0.031483   -0.026295   -0.031468   -0.039208   -0.035914   -0.045390
-1387.5004   -0.033436   -0.025893   -0.029000   -0.038690   -0.036972   -0.043923
-1380.0004   -0.035606   -0.025450   -0.027132   -0.038680   -0.038230   -0.042009
-1372.5004   -0.036769   -0.025676   -0.026329   -0.038784   -0.039258   -0.040570
-1365.0004   -0.036487   -0.026831   -0.026765   -0.038324   -0.039365   -0.040023
-1357.5004   -0.035544   -0.028216   -0.028131   -0.037099   -0.037941   -0.039842
-1350.0004   -0.034952   -0.028730   -0.030065   -0.035170   -0.035368   -0.039520
