Akshat's Be Binaries for APO/ARCES and CTIO/CHIRON
HD       Name        P     RA          DEC       V    HST  APO  CTIO
HD 29441 V1150 Tau    ...  04 38 36.2  +08 10 31 7.63 N    Y    Y
HD 35165 AN Col      86.6  05 21 16.9  -34 20 42 6.09 N    N    Y
HD 41335 HR 2142     80.9  06 04 13.5  -06 42 32 5.21 Y    Y    Y
HD 43544 HR 2249    122.5  06 16 07.7  -16 37 05 5.91 N    Y    Y
HD 51354 QY Gem     124.8  06 57 42.9  +17 54 07 7.16 N    Y    Y
HD 60855 V378 Pup     ...  07 36 03.9  -14 29 34 5.70 N    Y    Y
HD 88661 QY Car     177.9  10 11 46.5  -58 03 38 5.75 N    N    Y
HD109387 kap Dra     61.5  12 33 28.8  +69 47 18 3.89 Y    Y    N
HD113120 LS Mus     181.5  13 03 05.3  -71 28 32 6.03 Y    N    Y
HD137387 kap01 Aps  192.1  15 31 30.8  -73 23 22 5.49 Y    N    Y
HD152478 V846 Ara   236.5  16 56 08.8  -50 40 29 6.33 Y    N    Y
HD157042 iot Ara    176.2  17 23 16.1  -47 28 06 5.25 Y    N    Y
HD157832 V750 Ara    95.2  17 27 54.8  -47 01 34 6.66 Y    N    Y
HD158427 alf Ara     83.5  17 31 50.5  -49 52 34 2.95 N    N    Y
HD161306 MWC 271     99.9  17 45  7.7  -09 48 54 8.30 Y    Y    Y
HD183537 7 Vul       69.4  19 29 20.9  +20 16 47 6.33 Y    Y    Y
HD191610 28 Cyg     359.3  20 09 25.6  +36 50 23 4.93 N    Y    N
HD194335 V2119 Cyg    ...  20 23 44.4  +37 28 35 5.90 N    Y    N
HD200310 60 Cyg     146.6  21 01 10.9  +46 09 20 5.43 Y    Y    N
HD214168 8 Lac A      ...  22 35 52.3  +39 38 04 5.69 N    Y    N
